fact_id	platform	commit	path	recorded_start	recorded_end	coordinate_status	file_lines	content_match	disposition	extract
PF-BF-02	BF	7348054f268f	msp/msp_protocol.h	269	270	in-bounds	279 lines	?	unchanged	#define MSP_SET_RTC                     246  // in message:  Set the RTC clock / #define MSP_RTC                         247  // out message: Get the 
PF-BF-02	INAV	ae47bcba0182	msp/msp_protocol.h	301	302	in-bounds	308 lines	?	unchanged	#define MSP_RTC                  246    //out message         Gets the RTC clock (returns: secs(i32) millis(u16) - (0,0) if time is not known) / #defi
PF-BF-02	BF	7348054f268f	msp/msp.c	2179	2179	in-bounds	4481 lines	?	unchanged	case MSP_RTC: {
PF-BF-02	INAV	ae47bcba0182	fc/fc_msp.c	1459	1459	in-bounds	4397 lines	?	unchanged	case MSP_RTC:
PF-BF-03	BF	7348054f268f	msp/msp.c	4052	4052	in-bounds	4481 lines	?	unchanged	case MSP2_SET_TEXT:
PF-BF-04	BF	7348054f268f	msp/msp.c	642	647	in-bounds	4481 lines	?	unchanged	case MSP_FC_VERSION: / sbufWriteU8(dst, (uint8_t)(FC_VERSION_YEAR - FC_CALVER_BASE_YEAR)); // year since 2000 / sbufWriteU8(dst, FC_VERSION_MONTH);
PF-BF-04	BF	7348054f268f	build/version.h	28	35	in-bounds	79 lines	?	unchanged	#define FC_CALVER_BASE_YEAR 2000 /  / // The year the release is made
PF-BF-04	INAV	ae47bcba0182	fc/fc_msp.c	369	373	in-bounds	4397 lines	?	unchanged	case MSP_FC_VERSION: / sbufWriteU8(dst, FC_VERSION_MAJOR); / sbufWriteU8(dst, FC_VERSION_MINOR);
PF-BF-04	BF	7348054f268f	build/version.h	28	28	in-bounds	79 lines	?	unchanged	#define FC_CALVER_BASE_YEAR 2000
PF-BF-04	BF	7348054f268f	msp/msp.c	646	646	in-bounds	4481 lines	?	unchanged	sbufWritePString(dst, FC_VERSION_STRING);
PF-BF-05	BF	7348054f268f	msp/msp.c	4080	4090	in-bounds	4481 lines	?	unchanged	case MSP2TEXT_CUSTOM_MSG_0: / case MSP2TEXT_CUSTOM_MSG_0 + 1: / case MSP2TEXT_CUSTOM_MSG_0 + 2:
PF-BF-05	BF	7348054f268f	msp/msp.c	4101	4104	in-bounds	4481 lines	?	unchanged	#ifdef USE_OSD / if (textType == MSP2TEXT_PILOT_NAME || textType == MSP2TEXT_CRAFT_NAME) { / osdAnalyzeActiveElements();
PF-BF-06	BF	7348054f268f	rx/rx.c	128	128	in-bounds	1032 lines	?	unchanged	float rcData[MAX_SUPPORTED_RC_CHANNEL_COUNT];           // scaled, modified, checked and constrained values
PF-BF-07	BF	7348054f268f	fc/rc_modes.h	101	101	in-bounds	156 lines	?	unchanged	#define MODE_STEP_TO_CHANNEL_VALUE(step) (CHANNEL_RANGE_MIN + 25 * step)
PF-BF-08	BF	7348054f268f	msp/msp_protocol.h	263	263	in-bounds	279 lines	?	unchanged	#define MSP_MODE_RANGES_EXTRA           238  // out message: Extra mode range data
PF-BF-08	BF	7348054f268f	msp/msp_protocol.h	106	106	in-bounds	279 lines	?	unchanged	#define MSP_MODE_RANGES                 34   // out message: Returns all mode ranges
PF-BF-08	INAV	ae47bcba0182	msp/msp_protocol.h	127	127	in-bounds	308 lines	?	unchanged	#define MSP_MODE_RANGES                 34    //out message         Returns all mode ranges
PF-BF-09	BF	7348054f268f	msp/msp.c	1128	1128	in-bounds	4481 lines	?	unchanged	sbufWriteU32(dst, armingDisableFlags);
PF-BF-09	BF	7348054f268f	msp/msp.c	1094	1095	in-bounds	4481 lines	?	unchanged	case MSP_STATUS_EX: / case MSP_STATUS: {
PF-BF-09	BF	7348054f268f	flight/failsafe.c	196	209	in-bounds	438 lines	?	unchanged	void failsafeOnValidDataFailed(void) / // run from rc.c when packets are lost for more than RXLOSS_TRIGGER_INTERVAL, or immediately BOXFAILSAFE switch
PF-BF-09	BF	7348054f268f	flight/failsafe.c	202	202	in-bounds	438 lines	?	unchanged	setArmingDisabled(ARMING_DISABLED_RX_FAILSAFE);
PF-BF-09	BF	7348054f268f	fc/runtime_config.c	73	76	in-bounds	151 lines	?	unchanged	void setArmingDisabled(armingDisableFlags_e flag) / { / armingDisableFlags = armingDisableFlags | flag;
PF-BF-10	BF	7348054f268f	rx/rx.c	619	619	in-bounds	1032 lines	?	unchanged	static uint16_t getRxfailValue(uint8_t channel)
PF-BF-10	BF	7348054f268f	rx/rx.c	724	724	in-bounds	1032 lines	?	unchanged	sample = getRxfailValue(channel);
PF-BF-10	BF	7348054f268f	rx/rx.c	730	730	in-bounds	1032 lines	?	unchanged	sample = getRxfailValue(channel);
PF-BF-10	BF	7348054f268f	rx/rx.c	744	744	in-bounds	1032 lines	?	unchanged	sample = getRxfailValue(channel);
PF-BF-10	BF	7348054f268f	rx/rx.c	762	762	in-bounds	1032 lines	?	unchanged	rcData[channel] = sample;
PF-BF-10	BF	7348054f268f	rx/rx.c	158	158	in-bounds	1032 lines	?	unchanged	rxFailsafeChannelConfigs[i].mode = (i < NON_AUX_CHANNEL_COUNT) ? RX_FAILSAFE_MODE_AUTO : RX_FAILSAFE_MODE_HOLD;
PF-BF-10	BF	7348054f268f	rx/rx.c	762	762	in-bounds	1032 lines	?	unchanged	rcData[channel] = sample;
